# docNum,location,paperID,pubYear,pubMonth,pubDate,Title
0,NationalAntiSlaveryStandard/18501128/006.txt,5,1850,11,28,
1,NationalAntiSlaveryStandard/18501128/002.txt,5,1850,11,28,
2,NationalAntiSlaveryStandard/18501128/001.txt,5,1850,11,28,
3,NationalAntiSlaveryStandard/18501128/004.txt,5,1850,11,28,
4,NationalAntiSlaveryStandard/18501128/003.txt,5,1850,11,28,
5,NationalAntiSlaveryStandard/18501128/007.txt,5,1850,11,28,
6,NationalAntiSlaveryStandard/18501128/008.txt,5,1850,11,28,
7,NationalAntiSlaveryStandard/18501128/005.txt,5,1850,11,28,
8,NationalAntiSlaveryStandard/18441219/011.txt,5,1844,12,19,
9,NationalAntiSlaveryStandard/18441219/006.txt,5,1844,12,19,
10,NationalAntiSlaveryStandard/18441219/002.txt,5,1844,12,19,
11,NationalAntiSlaveryStandard/18441219/001.txt,5,1844,12,19,
12,NationalAntiSlaveryStandard/18441219/004.txt,5,1844,12,19,
13,NationalAntiSlaveryStandard/18441219/003.txt,5,1844,12,19,
14,NationalAntiSlaveryStandard/18441219/007.txt,5,1844,12,19,
15,NationalAntiSlaveryStandard/18441219/008.txt,5,1844,12,19,
16,NationalAntiSlaveryStandard/18441219/005.txt,5,1844,12,19,
17,NationalAntiSlaveryStandard/18441219/009.txt,5,1844,12,19,
18,NationalAntiSlaveryStandard/18441219/010.txt,5,1844,12,19,
19,NationalAntiSlaveryStandard/18480224/013.txt,5,1848,02,24,
20,NationalAntiSlaveryStandard/18480224/011.txt,5,1848,02,24,
21,NationalAntiSlaveryStandard/18480224/006.txt,5,1848,02,24,
22,NationalAntiSlaveryStandard/18480224/016.txt,5,1848,02,24,
23,NationalAntiSlaveryStandard/18480224/002.txt,5,1848,02,24,
24,NationalAntiSlaveryStandard/18480224/001.txt,5,1848,02,24,
25,NationalAntiSlaveryStandard/18480224/004.txt,5,1848,02,24,
26,NationalAntiSlaveryStandard/18480224/003.txt,5,1848,02,24,
27,NationalAntiSlaveryStandard/18480224/007.txt,5,1848,02,24,
28,NationalAntiSlaveryStandard/18480224/008.txt,5,1848,02,24,
29,NationalAntiSlaveryStandard/18480224/015.txt,5,1848,02,24,
30,NationalAntiSlaveryStandard/18480224/005.txt,5,1848,02,24,
31,NationalAntiSlaveryStandard/18480224/009.txt,5,1848,02,24,
32,NationalAntiSlaveryStandard/18480224/010.txt,5,1848,02,24,
33,NationalAntiSlaveryStandard/18480224/014.txt,5,1848,02,24,
